epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.56291,4.23196,11.5705,3.75038,4.30851,0,0,0,0,0,0,0,0,0,4.26482,5.23391,3.72579,4.15753,0,0.00016,0.00016,0.00016
2,18.52,4.0463,8.46982,3.62923,4.33127,0,0,0,0,0,0,0,0,0,4.26279,5.24273,3.72538,4.15558,0,0.00032878,0.00032878,0.00032878
3,28.1963,3.74944,9.28102,3.63078,4.29226,0,0,0,0,0,0,0,0,0,4.26026,5.24887,3.72251,4.15305,0,0.00048568,0.00048568,0.00048568
4,37.2882,4.10432,6.14628,3.58335,4.25832,0,0,0,0,0,0,0,0,0,4.25461,5.24943,3.71717,4.14683,0,0.0006307,0.0006307,0.0006307
5,46.538,4.05737,5.97732,3.45159,4.19598,0,0,0,0,0,0,0,0,0,4.24974,5.2434,3.70416,4.1401,0,0.00076384,0.00076384,0.00076384
6,55.5984,4.20411,5.81419,3.46046,4.14123,0,0,0,0,0,0,0,0,0,4.23905,5.22828,3.66692,4.1226,0,0.0008851,0.0008851,0.0008851
7,67.5498,4.26538,5.43755,3.38688,4.1458,0,0,0,0,0,0,0,0,0,4.20132,5.17574,3.60659,4.07491,0,0.00099448,0.00099448,0.00099448
8,79.487,3.66812,4.84394,3.28709,4.15856,0,0,0,0,0,0,0,0,0,4.06998,4.98372,3.53569,3.96026,0,0.00109198,0.00109198,0.00109198
9,92.3927,4.17465,4.4944,3.1021,4.04391,0,0,0,0,0,0,0,0,0,4.06998,4.98372,3.53569,3.96026,0,0.0011776,0.0011776,0.0011776
10,106.851,3.67813,4.35668,3.23677,4.07871,0,0.00226,0.25,0.00269,0.00038,0.00113,0.125,0.00116,0.00022,3.56709,4.26159,3.26056,3.67218,0,0.00125134,0.00125134,0.00125134
11,122.901,3.84619,3.82237,3.15091,4.05499,0,0.00226,0.25,0.00269,0.00038,0.00113,0.125,0.00116,0.00022,3.56709,4.26159,3.26056,3.67218,0,0.0013132,0.0013132,0.0013132
12,136.872,3.979,3.75739,3.14709,4.01511,0,0.0058,0.75,0.01031,0.00308,0.0058,0.75,0.00959,0.00172,2.68899,3.83116,3.35577,3.46023,0,0.001274,0.001274,0.001274
13,151.887,3.79015,3.51373,3.04027,3.95756,0,0.0058,0.75,0.01031,0.00308,0.0058,0.75,0.00959,0.00172,2.68899,3.83116,3.35577,3.46023,0,0.001208,0.001208,0.001208
14,163.632,3.61991,3.49184,2.88253,3.94008,0,0.00521,0.75,0.00875,0.00436,0.00521,0.75,0.00836,0.00301,2.2391,5.64864,3.35903,3.31954,0,0.001142,0.001142,0.001142
