epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7465,1.07018,2.17515,2.6359,1.09637,0,0.00479,1,0.995,0.83956,0.00479,1,0.995,0.85217,0.63814,0.76898,2.41963,0.71168,0,0.00016,0.00016,0.00016
2,21.8471,0.66265,0.93224,1.90207,0.97711,0,0.00416,1,0.995,0.8122,0.00416,1,0.995,0.85948,0.67793,0.61196,2.23813,0.72448,0,0.00032878,0.00032878,0.00032878
3,31.7562,0.73639,0.85153,1.47145,1.01529,0,0.95649,1,0.995,0.89605,0.95649,1,0.995,0.92128,0.53395,0.60919,1.72795,0.7057,0,0.00048568,0.00048568,0.00048568
4,43.9319,0.64393,0.73377,1.12543,0.96937,0,0.9768,1,0.995,0.80287,0.9768,1,0.995,0.87494,0.70142,0.57505,1.26111,0.76521,0,0.0006307,0.0006307,0.0006307
5,54.837,0.65851,0.65778,0.85469,0.94225,0,0.98305,1,0.995,0.82775,0.98305,1,0.995,0.90492,0.69859,0.55817,1.25798,0.74824,0,0.00076384,0.00076384,0.00076384
6,63.8262,0.62941,0.6194,0.87626,0.9807,0,1,0.9983,0.995,0.92054,1,0.9983,0.995,0.8976,0.46839,0.90474,0.9874,0.73112,0,0.0008851,0.0008851,0.0008851
7,73.5598,0.67397,0.6887,0.75129,0.94877,0,0.99998,1,0.995,0.91275,0.99998,1,0.995,0.86256,0.58426,1.3373,0.82866,0.76907,0,0.00099448,0.00099448,0.00099448
8,82.587,0.73158,0.51908,0.82906,0.95319,0,0.99057,1,0.995,0.86206,0.99057,1,0.995,0.91147,0.6655,1.09402,0.90396,0.79339,0,0.00109198,0.00109198,0.00109198
9,91.3593,0.72683,0.58777,0.87025,1.00441,0,0.99057,1,0.995,0.86206,0.99057,1,0.995,0.91147,0.6655,1.09402,0.90396,0.79339,0,0.0011776,0.0011776,0.0011776
10,100.618,0.66226,0.66879,0.9402,0.99278,0,0.99332,1,0.995,0.80893,0.99332,1,0.995,0.89305,0.74362,0.69043,1.0052,0.79437,0,0.00125134,0.00125134,0.00125134
11,109.729,0.68717,0.60952,0.84473,0.98594,0,0.99332,1,0.995,0.80893,0.99332,1,0.995,0.89305,0.74362,0.69043,1.0052,0.79437,0,0.0013132,0.0013132,0.0013132
12,118.68,0.63064,0.54791,0.79574,0.92791,0,0.99156,1,0.995,0.80881,0.99156,1,0.995,0.94009,0.67652,0.55423,1.10596,0.77687,0,0.001274,0.001274,0.001274
13,127.448,0.69593,0.55689,0.82967,0.97591,0,0.99156,1,0.995,0.80881,0.99156,1,0.995,0.94009,0.67652,0.55423,1.10596,0.77687,0,0.001208,0.001208,0.001208
14,137.601,0.6043,0.4775,0.78577,0.95272,0,0.96557,1,0.995,0.89287,0.96557,1,0.995,0.94504,0.53101,0.60423,1.04679,0.7518,0,0.001142,0.001142,0.001142
15,146.673,0.6399,0.67069,0.76598,0.96027,0,0.98821,1,0.995,0.87774,0.98821,1,0.995,0.94264,0.56322,0.76037,1.08033,0.75283,0,0.001076,0.001076,0.001076
16,155.813,0.58161,0.54437,0.79081,0.93355,0,0.98821,1,0.995,0.87774,0.98821,1,0.995,0.94264,0.56322,0.76037,1.08033,0.75283,0,0.00101,0.00101,0.00101
17,165.888,0.57659,0.56888,0.70624,0.92376,0,0.99323,1,0.995,0.8955,0.99323,1,0.995,0.95804,0.50305,0.71164,0.87722,0.73296,0,0.000944,0.000944,0.000944
18,176.793,0.53933,0.49669,0.69836,0.90938,0,0.99323,1,0.995,0.8955,0.99323,1,0.995,0.95804,0.50305,0.71164,0.87722,0.73296,0,0.000878,0.000878,0.000878
19,185.79,0.66448,0.60112,0.76332,0.94994,0,0.99265,1,0.995,0.8955,0.99265,1,0.995,0.94504,0.46337,0.63875,0.80621,0.71693,0,0.000812,0.000812,0.000812
20,195.949,0.55622,0.54656,0.69702,0.91423,0,0.99265,1,0.995,0.8955,0.99265,1,0.995,0.94504,0.46337,0.63875,0.80621,0.71693,0,0.000746,0.000746,0.000746
21,204.363,0.44227,0.4243,1.04873,0.88303,0,0.99144,1,0.995,0.87723,0.99144,1,0.995,0.94542,0.43947,0.54113,0.72696,0.71933,0,0.00068,0.00068,0.00068
22,212.754,0.41499,0.39822,1.09526,0.88218,0,0.99153,1,0.995,0.87157,0.99153,1,0.995,0.95453,0.46605,0.5027,0.76896,0.73502,0,0.000614,0.000614,0.000614
23,221.102,0.46014,0.40882,0.88608,0.86204,0,0.99153,1,0.995,0.87157,0.99153,1,0.995,0.95453,0.46605,0.5027,0.76896,0.73502,0,0.000548,0.000548,0.000548
24,229.892,0.50504,0.47511,0.97156,0.98724,0,0.99367,1,0.995,0.93562,0.99367,1,0.995,0.94693,0.39276,0.48763,0.7895,0.72092,0,0.000482,0.000482,0.000482
25,238.482,0.44293,0.43782,0.94125,0.87326,0,0.99367,1,0.995,0.93562,0.99367,1,0.995,0.94693,0.39276,0.48763,0.7895,0.72092,0,0.000416,0.000416,0.000416
26,247.399,0.45933,0.46397,0.90293,0.88,0,0.99464,1,0.995,0.92616,0.99464,1,0.995,0.94971,0.33812,0.46766,0.76705,0.71383,0,0.00035,0.00035,0.00035
27,256.121,0.44058,0.35541,0.89424,0.86834,0,0.99464,1,0.995,0.92616,0.99464,1,0.995,0.94971,0.33812,0.46766,0.76705,0.71383,0,0.000284,0.000284,0.000284
28,264.519,0.43737,0.39997,0.79915,0.86612,0,0.99507,1,0.995,0.95753,0.99507,1,0.995,0.93667,0.32463,0.4502,0.70553,0.71951,0,0.000218,0.000218,0.000218
29,273.423,0.41086,0.33021,0.77674,0.88662,0,0.99507,1,0.995,0.95753,0.99507,1,0.995,0.93667,0.32463,0.4502,0.70553,0.71951,0,0.000152,0.000152,0.000152
30,282.115,0.38929,0.37037,0.76652,0.87642,0,0.99533,1,0.995,0.97514,0.99533,1,0.995,0.97364,0.30535,0.44405,0.68651,0.71943,0,8.6e-05,8.6e-05,8.6e-05
