,n02086646_3161.jpg,n02086646_3827.jpg,n02086646_3917.jpg,n02086646_3986.jpg,n02086646_4311.jpg,n02089078_2282.jpg,n02089078_2478.jpg,n02089078_2542.jpg,n02089078_445.jpg,n02110185_10273 copy.jpg,n02110185_10273.jpg,n02110185_10849 copy.jpg,n02110185_10849.jpg,n02110185_11114.jpg,n02110185_1178.jpg,n02110185_11841.jpg,n02110185_120.jpg,n02110185_120_mod_bright.jpg,n02110185_120_mod_cropped.jpg,n02110185_120_mod_resized.jpg,n02110185_12120.jpg,n02110185_13127.jpg,n02110185_14479.jpg,n02110185_14766.jpg,n02110185_3291.jpg,n02110185_6094 copy.jpg,n02110185_6094.jpg,n02111129_1482.jpg,n02111129_3770.jpg,n02111129_4533.jpg
n02086646_3161.jpg,1.0,0.4984,0.7813,0.7159,0.7177,0.2012,0.203,0.1908,0.1742,0.2191,0.2191,0.1596,0.1596,0.2444,0.1912,0.2551,0.2141,0.2183,0.2345,0.2682,0.1886,0.2636,0.2258,0.1855,0.2728,0.2032,0.2032,0.2155,0.2287,0.2711
n02086646_3827.jpg,0.4984,1.0,0.4541,0.5002,0.5021,0.2,0.1707,0.178,0.3002,0.3512,0.3512,0.2972,0.2972,0.2933,0.3841,0.3246,0.2879,0.2927,0.3281,0.3257,0.4522,0.4117,0.3442,0.3321,0.3642,0.359,0.359,0.3316,0.2136,0.27
n02086646_3917.jpg,0.7813,0.4541,1.0,0.791,0.6522,0.1112,0.1611,0.1259,0.1275,0.1944,0.1944,0.1622,0.1622,0.2207,0.1716,0.2205,0.1746,0.1717,0.2153,0.1995,0.1715,0.2222,0.2041,0.1537,0.2176,0.2071,0.2071,0.1923,0.194,0.2074
n02086646_3986.jpg,0.7159,0.5002,0.791,1.0,0.6908,0.1496,0.165,0.1817,0.1801,0.2208,0.2208,0.1971,0.1971,0.2503,0.192,0.2615,0.2022,0.1997,0.2459,0.2259,0.1873,0.259,0.1804,0.1521,0.2212,0.2193,0.2193,0.2277,0.1971,0.2545
n02086646_4311.jpg,0.7177,0.5021,0.6522,0.6908,1.0,0.2055,0.2154,0.2144,0.2338,0.2516,0.2516,0.2075,0.2075,0.2733,0.2608,0.3611,0.2346,0.2494,0.2664,0.3011,0.2739,0.3213,0.229,0.216,0.3082,0.2962,0.2962,0.3357,0.3338,0.4063
n02089078_2282.jpg,0.2012,0.2,0.1112,0.1496,0.2055,1.0,0.5494,0.652,0.5196,0.179,0.179,0.2436,0.2436,0.2314,0.1649,0.2718,0.2389,0.2632,0.2366,0.2809,0.2284,0.153,0.2371,0.2332,0.2341,0.235,0.235,0.2618,0.2993,0.3378
n02089078_2478.jpg,0.203,0.1707,0.1611,0.165,0.2154,0.5494,1.0,0.5317,0.377,0.1776,0.1776,0.2374,0.2374,0.2817,0.1529,0.3121,0.2063,0.2158,0.2072,0.2305,0.1739,0.1993,0.1679,0.2394,0.2133,0.1879,0.1879,0.3059,0.3444,0.3303
n02089078_2542.jpg,0.1908,0.178,0.1259,0.1817,0.2144,0.652,0.5317,1.0,0.5093,0.1649,0.1649,0.204,0.204,0.2326,0.1398,0.2454,0.1936,0.2099,0.1897,0.2153,0.1756,0.165,0.1675,0.1966,0.2452,0.2107,0.2107,0.3037,0.296,0.3146
n02089078_445.jpg,0.1742,0.3002,0.1275,0.1801,0.2338,0.5196,0.377,0.5093,1.0,0.2183,0.2183,0.3204,0.3204,0.3228,0.2533,0.4303,0.3168,0.3425,0.3152,0.3666,0.3849,0.2541,0.2506,0.2528,0.3606,0.3626,0.3626,0.3558,0.2883,0.337
n02110185_10273 copy.jpg,0.2191,0.3512,0.1944,0.2208,0.2516,0.179,0.1776,0.1649,0.2183,1.0,1.0,0.4677,0.4677,0.6258,0.6266,0.4302,0.6983,0.7066,0.723,0.6596,0.48,0.6261,0.5936,0.6573,0.3521,0.4733,0.4733,0.2542,0.1498,0.2297
n02110185_10273.jpg,0.2191,0.3512,0.1944,0.2208,0.2516,0.179,0.1776,0.1649,0.2183,1.0,1.0,0.4677,0.4677,0.6258,0.6266,0.4302,0.6983,0.7066,0.723,0.6596,0.48,0.6261,0.5936,0.6573,0.3521,0.4733,0.4733,0.2542,0.1498,0.2297
n02110185_10849 copy.jpg,0.1596,0.2972,0.1622,0.1971,0.2075,0.2436,0.2374,0.204,0.3204,0.4677,0.4677,1.0,1.0,0.493,0.5852,0.5171,0.4514,0.4686,0.4345,0.4357,0.5481,0.4493,0.4987,0.5213,0.486,0.5879,0.5879,0.3796,0.2359,0.3511
n02110185_10849.jpg,0.1596,0.2972,0.1622,0.1971,0.2075,0.2436,0.2374,0.204,0.3204,0.4677,0.4677,1.0,1.0,0.493,0.5852,0.5171,0.4514,0.4686,0.4345,0.4357,0.5481,0.4493,0.4987,0.5213,0.486,0.5879,0.5879,0.3796,0.2359,0.3511
n02110185_11114.jpg,0.2444,0.2933,0.2207,0.2503,0.2733,0.2314,0.2817,0.2326,0.3228,0.6258,0.6258,0.493,0.493,1.0,0.5553,0.5587,0.6719,0.6835,0.6718,0.6664,0.4321,0.618,0.5632,0.6563,0.4178,0.5096,0.5096,0.3746,0.2661,0.2684
n02110185_1178.jpg,0.1912,0.3841,0.1716,0.192,0.2608,0.1649,0.1529,0.1398,0.2533,0.6266,0.6266,0.5852,0.5852,0.5553,1.0,0.4805,0.5485,0.5737,0.5633,0.549,0.5443,0.6145,0.6608,0.6861,0.4514,0.5357,0.5357,0.2909,0.2082,0.2726
n02110185_11841.jpg,0.2551,0.3246,0.2205,0.2615,0.3611,0.2718,0.3121,0.2454,0.4303,0.4302,0.4302,0.5171,0.5171,0.5587,0.4805,1.0,0.5096,0.5453,0.486,0.5406,0.3942,0.4815,0.4453,0.446,0.4449,0.5653,0.5653,0.4962,0.3635,0.4374
n02110185_120.jpg,0.2141,0.2879,0.1746,0.2022,0.2346,0.2389,0.2063,0.1936,0.3168,0.6983,0.6983,0.4514,0.4514,0.6719,0.5485,0.5096,1.0,0.9602,0.9289,0.9459,0.4929,0.6183,0.5205,0.5785,0.4069,0.5427,0.5427,0.3625,0.2413,0.2856
n02110185_120_mod_bright.jpg,0.2183,0.2927,0.1717,0.1997,0.2494,0.2632,0.2158,0.2099,0.3425,0.7066,0.7066,0.4686,0.4686,0.6835,0.5737,0.5453,0.9602,1.0,0.9191,0.9376,0.4945,0.6196,0.554,0.6194,0.4237,0.5589,0.5589,0.359,0.241,0.301
n02110185_120_mod_cropped.jpg,0.2345,0.3281,0.2153,0.2459,0.2664,0.2366,0.2072,0.1897,0.3152,0.723,0.723,0.4345,0.4345,0.6718,0.5633,0.486,0.9289,0.9191,1.0,0.8876,0.4543,0.6466,0.5513,0.615,0.3925,0.5326,0.5326,0.3374,0.242,0.2588
n02110185_120_mod_resized.jpg,0.2682,0.3257,0.1995,0.2259,0.3011,0.2809,0.2305,0.2153,0.3666,0.6596,0.6596,0.4357,0.4357,0.6664,0.549,0.5406,0.9459,0.9376,0.8876,1.0,0.495,0.6219,0.5178,0.5833,0.4321,0.5436,0.5436,0.3828,0.2752,0.3214
n02110185_12120.jpg,0.1886,0.4522,0.1715,0.1873,0.2739,0.2284,0.1739,0.1756,0.3849,0.48,0.48,0.5481,0.5481,0.4321,0.5443,0.3942,0.4929,0.4945,0.4543,0.495,1.0,0.3995,0.4754,0.4987,0.5844,0.5642,0.5642,0.4044,0.234,0.3452
n02110185_13127.jpg,0.2636,0.4117,0.2222,0.259,0.3213,0.153,0.1993,0.165,0.2541,0.6261,0.6261,0.4493,0.4493,0.618,0.6145,0.4815,0.6183,0.6196,0.6466,0.6219,0.3995,1.0,0.4494,0.5478,0.3819,0.4947,0.4947,0.3504,0.2328,0.2526
n02110185_14479.jpg,0.2258,0.3442,0.2041,0.1804,0.229,0.2371,0.1679,0.1675,0.2506,0.5936,0.5936,0.4987,0.4987,0.5632,0.6608,0.4453,0.5205,0.554,0.5513,0.5178,0.4754,0.4494,1.0,0.7066,0.3941,0.5335,0.5335,0.2467,0.2617,0.2795
n02110185_14766.jpg,0.1855,0.3321,0.1537,0.1521,0.216,0.2332,0.2394,0.1966,0.2528,0.6573,0.6573,0.5213,0.5213,0.6563,0.6861,0.446,0.5785,0.6194,0.615,0.5833,0.4987,0.5478,0.7066,1.0,0.4559,0.4864,0.4864,0.2909,0.2335,0.2572
n02110185_3291.jpg,0.2728,0.3642,0.2176,0.2212,0.3082,0.2341,0.2133,0.2452,0.3606,0.3521,0.3521,0.486,0.486,0.4178,0.4514,0.4449,0.4069,0.4237,0.3925,0.4321,0.5844,0.3819,0.3941,0.4559,1.0,0.4972,0.4972,0.5219,0.3527,0.3627
n02110185_6094 copy.jpg,0.2032,0.359,0.2071,0.2193,0.2962,0.235,0.1879,0.2107,0.3626,0.4733,0.4733,0.5879,0.5879,0.5096,0.5357,0.5653,0.5427,0.5589,0.5326,0.5436,0.5642,0.4947,0.5335,0.4864,0.4972,1.0,1.0,0.4568,0.3133,0.3832
n02110185_6094.jpg,0.2032,0.359,0.2071,0.2193,0.2962,0.235,0.1879,0.2107,0.3626,0.4733,0.4733,0.5879,0.5879,0.5096,0.5357,0.5653,0.5427,0.5589,0.5326,0.5436,0.5642,0.4947,0.5335,0.4864,0.4972,1.0,1.0,0.4568,0.3133,0.3832
n02111129_1482.jpg,0.2155,0.3316,0.1923,0.2277,0.3357,0.2618,0.3059,0.3037,0.3558,0.2542,0.2542,0.3796,0.3796,0.3746,0.2909,0.4962,0.3625,0.359,0.3374,0.3828,0.4044,0.3504,0.2467,0.2909,0.5219,0.4568,0.4568,1.0,0.546,0.6229
n02111129_3770.jpg,0.2287,0.2136,0.194,0.1971,0.3338,0.2993,0.3444,0.296,0.2883,0.1498,0.1498,0.2359,0.2359,0.2661,0.2082,0.3635,0.2413,0.241,0.242,0.2752,0.234,0.2328,0.2617,0.2335,0.3527,0.3133,0.3133,0.546,1.0,0.5874
n02111129_4533.jpg,0.2711,0.27,0.2074,0.2545,0.4063,0.3378,0.3303,0.3146,0.337,0.2297,0.2297,0.3511,0.3511,0.2684,0.2726,0.4374,0.2856,0.301,0.2588,0.3214,0.3452,0.2526,0.2795,0.2572,0.3627,0.3832,0.3832,0.6229,0.5874,1.0
