rank,query_image,matched_image,cosine_similarity
1,n02110185_120.jpg,n02110185_120_mod_bright.jpg,0.96015656
2,n02110185_120.jpg,n02110185_120_mod_resized.jpg,0.94589436
3,n02110185_120.jpg,n02110185_120_mod_cropped.jpg,0.92886525
4,n02110185_120.jpg,n02110185_10273 copy.jpg,0.6982659
5,n02110185_120.jpg,n02110185_10273.jpg,0.6982659
6,n02110185_120.jpg,n02110185_11114.jpg,0.6719363
7,n02110185_120.jpg,n02110185_13127.jpg,0.61834216
8,n02110185_120.jpg,n02110185_14766.jpg,0.5785184
9,n02110185_120.jpg,n02110185_1178.jpg,0.54846346
10,n02110185_120.jpg,n02110185_6094 copy.jpg,0.5427476
